tissue_name	GSM_acc	SRR_acc	fastq	R1	R2	fastq_downloaded	R1_downloaded	R2_downloaded	mapped_status	MISO_status
CD14+	GSM1126516	SRR830946	Y	N	N	Y	N	N	Y	Y
CD14+	GSM1126516	SRR830947	Y	N	N	Y	N	N	Y	waiting
CD14+	GSM1126517	SRR830948	Y	N	N	Y	N	N	Y	waiting
CD14+	GSM1126517	SRR830949	Y	N	N	Y	N	N	Y	waiting
CD14+	GSM1126518	SRR830950	Y	N	N	Y	N	N	Y	waiting
CD14+	GSM1126518	SRR830951	Y	N	N	Y	N	N	Y	Y
CD14+	GSM1126519	SRR830952	Y	N	N	Y	N	N	Y	waiting
CD14+	GSM1126519	SRR830953	Y	N	N	Y	N	N	Y	Y
CD14+	GSM1126520	SRR830954	Y	N	N	Y	N	N	Y	waiting
CD14+	GSM1126520	SRR830955	Y	N	N	Y	N	N	Y	waiting
CD19+	GSM1523489	SRR1609979	N	Y	Y	N	Y	Y	Y	Y
CD19+	GSM1523490	SRR1609980	N	Y	Y	N	Y	Y	Y	Y
CD19+	GSM1523491	SRR1609981	N	Y	Y	N	Y	Y	Y	Y
CD19+	GSM1523492	SRR1609982	N	Y	Y	N	Y	Y	Y	Y
CD19+	GSM1523493	SRR1609983	N	Y	Y	N	Y	Y	Y	Y
CD19+	GSM1523494	SRR1609984	N	Y	Y	N	Y	Y	Y	Y
CD19+	GSM1523495	SRR1609985	N	Y	Y	N	Y	Y	Y	Y
CD19+	GSM1523496	SRR1609986	N	Y	Y	N	Y	Y	Y	waiting
CD19+	GSM1523497	SRR1609987	N	Y	Y	N	Y	Y	Y	waiting
CD19+	GSM1523498	SRR1609988	N	Y	Y	N	Y	Y	Y	waiting
CD19+	GSM1523499	SRR1609989	N	Y	Y	N	Y	Y	Y	waiting
CD19+	GSM1523500	SRR1609990	N	Y	Y	N	Y	Y	Y	waiting
CD19+	GSM1523501	SRR1609991	N	Y	Y	N	Y	Y	Y	waiting
CD19+	GSM1523502	SRR1609992	N	Y	Y	N	Y	Y	Y	waiting
CD8+	GSM1060237	SRR644512	N	Y	Y	N	Y	Y	Y	Y
CD8+	GSM1060239	SRR644514	N	Y	Y	N	Y	Y	Y	Y
CD8+	GSM1577755	SRR1743975	Y	N	N	Y	N	N	Y	Y
CD8+	GSM1577760	SRR1743980	Y	N	N	Y	N	N	Y	waiting
Fetal_heart	GSM1059494	SRR643778	Y	N	N	Y	N	N	Y	Y
Fetal_heart	GSM1059495	SRR643779	Y	N	N	Y	N	N	Y	Y
Fetal_heart	GSM1554465	SRR1663123	N	Y	Y	N	Y	Y	Y	Y
Fetal_heart	GSM1554466	SRR1663124	N	Y	Y	N	Y	Y	Y	waiting
Fetal_kidney	GSM1059510	SRR643749	Y	N	N	Y	N	N	Y	Y
Fetal_kidney	GSM1059511	SRR643750	Y	N	N	Y	N	N	Y	Y
Fetal_kidney	GSM1059512	SRR643751	Y	N	N	Y	N	N	Y	Y
Fetal_kidney	GSM1059523	SRR643762	Y	N	N	Y	N	N	Y	waiting
