Ensembl.Gene.ID	Enhancer.grp	AE_nth	Non.spliced.without.enhancer	Spliced.without.enhancer	Non.spliced.with.enhancer	Spliced.with.enhancer	Fisher.P.value	Odds.ratio	q_fdr
ENSG00000177058	chr5_259	0	4	8	8	1	0.0243595413874052	0.0625	0.0545822451174066
ENSG00000177058	chr5_259	3	8	4	4	11	0.0574049146737261	5.5	0.0817236688690244
ENSG00000182054	chr15_799	0	12	5	0	5	0.00956937799043062	Inf	0.0416928455205967
ENSG00000182054	chr15_138	0	12	5	0	5	0.00956937799043062	Inf	0.0416928455205967
ENSG00000182054	chr15_1852	0	12	5	0	5	0.00956937799043062	Inf	0.0416928455205967
ENSG00000073849	chr3_675	0	12	0	1	4	0.00210084033613445	Inf	0.0386707309784233
ENSG00000073849	chr3_1957	0	11	1	2	3	0.0525210084033613	16.5	0.0777599369267157
ENSG00000073849	chr3_2385	0	13	3	0	1	0.235294117647059	Inf	0.261797582317536
ENSG00000073849	chr3_676	0	13	2	0	2	0.0441176470588235	Inf	0.069875440996472
ENSG00000073849	chr3_1452	0	13	3	0	1	0.235294117647059	Inf	0.261797582317536
ENSG00000073849	chr3_1956	0	13	2	0	2	0.0441176470588235	Inf	0.069875440996472
ENSG00000010810	chr6_1139	3	15	6	0	4	0.016600790513834	Inf	0.0460974740877708
ENSG00000010810	chr6_2488	3	15	7	0	3	0.0521739130434783	Inf	0.0773788463934223
ENSG00000010810	chr6_3214	3	15	7	0	3	0.0521739130434783	Inf	0.0773788463934223
ENSG00000010810	chr6_3500	3	15	7	0	3	0.0521739130434783	Inf	0.0773788463934223
ENSG00000010810	chr6_151	3	15	7	0	3	0.0521739130434783	Inf	0.0773788463934223
ENSG00000010810	chr6_152	3	15	7	0	3	0.0521739130434783	Inf	0.0773788463934223
ENSG00000010810	chr6_2487	3	15	7	0	3	0.0521739130434783	Inf	0.0773788463934223
ENSG00000167555	chr19_752	0	8	1	0	4	0.006993006993007	Inf	0.0386707309784233
ENSG00000048392	chr8_413	0	3	13	7	3	0.0152057661009068	0.0989010989010989	0.045068136870533
ENSG00000048392	chr8_413	1	4	13	5	2	0.0605627210318284	0.123076923076923	0.0842006023738681
ENSG00000185721	chr22_22	0	10	4	1	6	0.0237358101135191	15	0.0539404766684064
ENSG00000100528	chr14_1412	1	15	8	0	5	0.0130952380952381	Inf	0.044070840299709
ENSG00000100528	chr14_1411	1	15	8	0	5	0.0130952380952381	Inf	0.044070840299709
ENSG00000100528	chr14_1416	1	15	8	0	5	0.0130952380952381	Inf	0.044070840299709
ENSG00000100528	chr14_1413	1	15	8	0	5	0.0130952380952381	Inf	0.044070840299709
ENSG00000104529	chr8_337	4	1	7	7	2	0.0152200740436035	0.0408163265306122	0.045068136870533
ENSG00000104529	chr8_434	3	2	8	5	0	0.006993006993007	0	0.0386707309784233
ENSG00000104529	chr8_434	1	3	9	5	0	0.0090497737556561	0	0.0415262668078688
ENSG00000104529	chr8_434	0	2	7	6	0	0.00699300699300698	0	0.0386707309784233
ENSG00000104529	chr8_434	13	2	10	5	0	0.00339366515837104	0	0.0386707309784233
ENSG00000104529	chr8_434	6	3	9	5	0	0.0090497737556561	0	0.0415262668078688
ENSG00000104529	chr8_434	10	3	9	6	0	0.0090497737556561	0	0.0415262668078688
ENSG00000104529	chr8_434	12	2	10	5	0	0.00339366515837104	0	0.0386707309784233
ENSG00000104529	chr8_434	4	3	9	5	0	0.0090497737556561	0	0.0415262668078688
ENSG00000104529	chr8_434	2	2	10	5	0	0.00339366515837104	0	0.0386707309784233
ENSG00000104529	chr8_434	15	3	8	6	0	0.0090497737556561	0	0.0415262668078688
ENSG00000104529	chr8_434	8	4	10	5	0	0.0108359133126935	0	0.0428817603393425
ENSG00000104529	chr8_442	13	3	10	4	0	0.0147058823529412	0	0.0450330199638389
ENSG00000104529	chr8_442	12	3	10	4	0	0.0147058823529412	0	0.0450330199638389
ENSG00000104529	chr8_442	2	3	10	4	0	0.0147058823529412	0	0.0450330199638389
ENSG00000104529	chr8_345	33	5	0	1	7	0.00466200466200466	Inf	0.0386707309784233
ENSG00000104529	chr8_348	0	1	6	7	1	0.0101010101010101	0.0238095238095238	0.0428817603393425
ENSG00000104529	chr8_348	6	1	8	7	1	0.00337309749074456	0.0178571428571429	0.0386707309784233
ENSG00000104529	chr8_348	12	1	8	6	2	0.0152200740436035	0.0416666666666667	0.045068136870533
ENSG00000104529	chr8_348	4	2	8	6	1	0.0152200740436035	0.0416666666666667	0.045068136870533
ENSG00000104529	chr8_340	0	0	5	8	2	0.006993006993007	0	0.0386707309784233
ENSG00000104529	chr8_340	6	0	6	8	3	0.0090497737556561	0	0.0415262668078688
ENSG00000104529	chr8_340	4	0	6	8	3	0.0090497737556561	0	0.0415262668078688
ENSG00000104529	chr8_1060	6	2	8	6	1	0.0152200740436035	0.0416666666666667	0.045068136870533
ENSG00000077782	chr8_620	1	1	12	1	0	0.142857142857143	0	0.162369031934249
ENSG00000077782	chr8_612	1	1	12	1	0	0.142857142857143	0	0.162369031934249
ENSG00000077782	chr8_619	1	1	12	1	0	0.142857142857143	0	0.162369031934249
ENSG00000077782	chr8_613	1	1	12	1	0	0.142857142857143	0	0.162369031934249
ENSG00000077782	chr8_618	1	1	12	1	0	0.142857142857143	0	0.162369031934249
ENSG00000169045	chr5_509	0	1	6	11	4	0.0201238390092879	0.0606060606060606	0.0496365624570753
ENSG00000183765	chr22_989	10	0	11	1	1	0.153846153846154	0	0.174552321856136
ENSG00000183765	chr22_989	1	12	0	0	1	0.0769230769230769	Inf	0.101105598312302
ENSG00000183765	chr22_988	8	11	2	0	2	0.0571428571428572	Inf	0.0817236688690244
ENSG00000183765	chr22_988	10	0	11	1	1	0.153846153846154	0	0.174552321856136
ENSG00000183765	chr22_988	1	12	0	0	1	0.0769230769230769	Inf	0.101105598312302
ENSG00000183765	chr22_990	12	7	13	5	0	0.0149068322981366	0	0.0450330199638389
ENSG00000183765	chr22_990	8	11	2	0	2	0.0571428571428572	Inf	0.0817236688690244
ENSG00000183765	chr22_990	10	0	11	1	1	0.153846153846154	0	0.174552321856136
ENSG00000183765	chr22_990	1	11	0	1	1	0.153846153846154	Inf	0.174552321856136
ENSG00000183765	chr22_79	7	6	0	4	9	0.0108359133126935	Inf	0.0428817603393425
ENSG00000183765	chr22_331	11	16	6	0	7	0.00109945027486257	Inf	0.0386707309784233
ENSG00000157193	chr1_2176	0	12	6	0	9	0.00111482720178372	Inf	0.0386707309784233
ENSG00000157193	chr1_2176	1	12	6	0	9	0.00111482720178372	Inf	0.0386707309784233
ENSG00000157193	chr1_654	0	10	6	2	9	0.0473280387669944	7.5	0.0729551978311015
ENSG00000157193	chr1_654	1	11	6	1	9	0.0140350877192983	16.5	0.0450330199638389
ENSG00000066322	chr1_631	0	3	8	7	1	0.0197666110978805	0.0535714285714286	0.0490469698190937
ENSG00000231731	chr2_698	5	5	12	7	0	0.0045766590389016	0	0.0386707309784233
ENSG00000231731	chr2_523	5	6	12	6	0	0.0137299771167048	0	0.0450330199638389
ENSG00000231731	chr2_523	12	2	8	5	0	0.006993006993007	0	0.0386707309784233
ENSG00000005194	chr16_1418	2	16	5	0	2	0.0830039525691699	Inf	0.106554677206851
ENSG00000005194	chr16_970	2	16	6	0	1	0.304347826086956	Inf	0.332202519575302
ENSG00000005194	chr16_1574	2	15	5	1	2	0.209486166007905	6	0.23500225298156
ENSG00000005194	chr16_369	2	13	1	3	6	0.00494377072651404	26	0.0386707309784233
ENSG00000005194	chr16_2241	2	15	5	1	2	0.209486166007905	6	0.23500225298156
ENSG00000005194	chr16_959	2	16	6	0	1	0.304347826086956	Inf	0.332202519575302
ENSG00000005194	chr16_1425	2	16	5	0	2	0.0830039525691699	Inf	0.106554677206851
ENSG00000005194	chr16_2239	2	15	5	1	2	0.209486166007905	6	0.23500225298156
ENSG00000005194	chr16_1412	2	16	5	0	2	0.0830039525691699	Inf	0.106554677206851
ENSG00000005194	chr16_370	0	8	4	1	8	0.0243595413874052	16	0.0545822451174066
ENSG00000005194	chr16_370	1	9	2	0	6	0.00226244343891403	Inf	0.0386707309784233
ENSG00000005194	chr16_958	2	16	6	0	1	0.304347826086956	Inf	0.332202519575302
ENSG00000005194	chr16_1421	2	15	5	1	2	0.209486166007905	6	0.23500225298156
ENSG00000005194	chr16_950	2	16	6	0	1	0.304347826086956	Inf	0.332202519575302
ENSG00000005194	chr16_1417	2	16	5	0	2	0.0830039525691699	Inf	0.106554677206851
ENSG00000005194	chr16_373	2	15	5	1	2	0.209486166007905	6	0.23500225298156
ENSG00000005194	chr16_2235	2	15	5	1	2	0.209486166007905	6	0.23500225298156
ENSG00000005194	chr16_1422	1	9	3	0	5	0.0090497737556561	Inf	0.0415262668078688
ENSG00000005194	chr16_1410	2	16	5	0	2	0.0830039525691699	Inf	0.106554677206851
ENSG00000005194	chr16_1419	2	16	5	0	2	0.0830039525691699	Inf	0.106554677206851
ENSG00000005194	chr16_1413	2	15	3	1	4	0.0172664863740379	20	0.0462324012674355
ENSG00000005194	chr16_1427	2	16	5	0	2	0.0830039525691699	Inf	0.106554677206851
ENSG00000005194	chr16_128	0	8	3	1	9	0.00751879699248124	24	0.0399561532167176
ENSG00000005194	chr16_128	1	9	2	0	6	0.00226244343891403	Inf	0.0386707309784233
ENSG00000005194	chr16_1409	2	16	5	0	2	0.0830039525691699	Inf	0.106554677206851
ENSG00000005194	chr16_954	2	16	4	0	3	0.0197628458498024	Inf	0.0490469698190937
ENSG00000005194	chr16_961	2	16	6	0	1	0.304347826086956	Inf	0.332202519575302
ENSG00000005194	chr16_969	2	16	6	0	1	0.304347826086956	Inf	0.332202519575302
ENSG00000005194	chr16_960	2	16	6	0	1	0.304347826086956	Inf	0.332202519575302
ENSG00000005194	chr16_966	2	13	3	3	4	0.137352798410815	5.77777777777778	0.158904355068033
ENSG00000005194	chr16_376	2	16	6	0	1	0.304347826086956	Inf	0.332202519575302
ENSG00000005194	chr16_1411	2	14	4	2	3	0.142084460162264	5.25	0.162369031934249
ENSG00000005194	chr16_967	2	16	6	0	1	0.304347826086956	Inf	0.332202519575302
ENSG00000005194	chr16_1420	2	16	5	0	2	0.0830039525691699	Inf	0.106554677206851
ENSG00000005194	chr16_968	2	16	6	0	1	0.304347826086956	Inf	0.332202519575302
ENSG00000005194	chr16_2240	2	15	5	1	2	0.209486166007905	6	0.23500225298156
ENSG00000005194	chr16_1414	2	14	3	2	4	0.0450038138825324	9.33333333333333	0.0710615438242793
ENSG00000005194	chr16_356	2	15	5	1	2	0.209486166007905	6	0.23500225298156
ENSG00000005194	chr16_1415	0	9	5	0	7	0.00712074303405573	Inf	0.0387968062571289
ENSG00000204370	chr11_1388	1	18	9	0	4	0.0227236612108692	Inf	0.0526101805171572
ENSG00000204370	chr11_1393	1	18	9	0	4	0.0227236612108692	Inf	0.0526101805171572
ENSG00000204370	chr11_516	1	18	7	0	6	0.00233063191906351	Inf	0.0386707309784233
ENSG00000204370	chr11_512	1	18	10	0	3	0.0636262513904338	Inf	0.0865977265680131
ENSG00000204370	chr11_512	0	8	16	6	0	0.00505747126436782	0	0.0386707309784233
ENSG00000204370	chr11_771	1	16	8	2	5	0.0993845012977384	5	0.123473282442748
ENSG00000204370	chr11_517	1	18	10	0	3	0.0636262513904338	Inf	0.0865977265680131
ENSG00000204370	chr11_517	0	9	16	5	0	0.0140485312899106	0	0.0450330199638389
ENSG00000204370	chr11_514	1	15	4	3	9	0.00751762367664095	11.25	0.0399561532167176
ENSG00000204370	chr11_515	1	18	7	0	6	0.00233063191906351	Inf	0.0386707309784233
ENSG00000204370	chr11_513	1	18	10	0	3	0.0636262513904338	Inf	0.0865977265680131
ENSG00000171311	chr10_28	3	3	11	6	1	0.0157894736842105	0.0454545454545454	0.0451400120508672
ENSG00000078902	chr11_255	2	6	12	7	1	0.0302059496567506	0.0714285714285714	0.0592219679633868
ENSG00000239779	chr2_5162	1	14	5	0	3	0.0363636363636364	Inf	0.0623652027230557
ENSG00000239779	chr2_1256	0	14	8	0	5	0.0159420289855072	Inf	0.0451400120508672
ENSG00000239779	chr2_1256	1	14	5	0	3	0.0363636363636364	Inf	0.0623652027230557
ENSG00000239779	chr2_1239	1	14	5	0	3	0.0363636363636364	Inf	0.0623652027230557
ENSG00000239779	chr2_469	0	14	8	0	5	0.0159420289855072	Inf	0.0451400120508672
ENSG00000239779	chr2_469	1	14	5	0	3	0.0363636363636364	Inf	0.0623652027230557
ENSG00000239779	chr2_1242	1	14	5	0	3	0.0363636363636364	Inf	0.0623652027230557
ENSG00000239779	chr2_1253	1	14	5	0	3	0.0363636363636364	Inf	0.0623652027230557
ENSG00000239779	chr2_1249	0	14	8	0	5	0.0159420289855072	Inf	0.0451400120508672
ENSG00000239779	chr2_1249	1	14	5	0	3	0.0363636363636364	Inf	0.0623652027230557
ENSG00000239779	chr2_1254	0	14	8	0	5	0.0159420289855072	Inf	0.0451400120508672
ENSG00000239779	chr2_1254	1	14	5	0	3	0.0363636363636364	Inf	0.0623652027230557
ENSG00000239779	chr2_5160	1	14	5	0	3	0.0363636363636364	Inf	0.0623652027230557
ENSG00000239779	chr2_5163	1	14	5	0	3	0.0363636363636364	Inf	0.0623652027230557
ENSG00000239779	chr2_1243	0	14	8	0	5	0.0159420289855072	Inf	0.0451400120508672
ENSG00000239779	chr2_1243	1	14	5	0	3	0.0363636363636364	Inf	0.0623652027230557
ENSG00000239779	chr2_468	0	8	13	6	0	0.0159420289855072	0	0.0451400120508672
ENSG00000239779	chr2_5161	1	14	5	0	3	0.0363636363636364	Inf	0.0623652027230557
ENSG00000239779	chr2_465	0	2	8	12	5	0.0183066361556064	0.104166666666667	0.0478215826192828
ENSG00000239779	chr2_465	1	1	7	13	1	0.000353378991149889	0.010989010989011	0.0268983773263504
ENSG00000239779	chr2_5159	1	14	5	0	3	0.0363636363636364	Inf	0.0623652027230557
ENSG00000239779	chr2_466	1	1	4	13	4	0.0393407761828814	0.0769230769230769	0.0651817725744539
ENSG00000239779	chr2_466	4	7	2	8	17	0.025166852057842	7.4375	0.0557635386350129
ENSG00000239779	chr2_1252	0	14	8	0	5	0.0159420289855072	Inf	0.0451400120508672
ENSG00000239779	chr2_1252	1	14	5	0	3	0.0363636363636364	Inf	0.0623652027230557
ENSG00000239779	chr2_1248	1	14	5	0	3	0.0363636363636364	Inf	0.0623652027230557
ENSG00000100372	chr22_253	1	3	12	2	0	0.0735294117647059	0	0.0968910985982988
ENSG00000100372	chr22_255	1	3	12	2	0	0.0735294117647059	0	0.0968910985982988
ENSG00000100372	chr22_769	1	2	12	3	0	0.0147058823529412	0	0.0450330199638389
ENSG00000100372	chr22_769	2	7	16	4	0	0.0188034188034188	0	0.048469370381721
ENSG00000100372	chr22_1046	1	3	12	2	0	0.0735294117647059	0	0.0968910985982988
ENSG00000100372	chr22_1045	1	2	12	3	0	0.0147058823529412	0	0.0450330199638389
ENSG00000100372	chr22_1045	2	7	16	4	0	0.0188034188034188	0	0.048469370381721
ENSG00000100372	chr22_1047	1	3	12	2	0	0.0735294117647059	0	0.0968910985982988
ENSG00000100372	chr22_252	1	2	12	3	0	0.0147058823529412	0	0.0450330199638389
ENSG00000100372	chr22_252	2	7	16	4	0	0.0188034188034188	0	0.048469370381721
ENSG00000173875	chr19_970	0	3	10	4	0	0.0147058823529412	0	0.0450330199638389
ENSG00000173875	chr19_356	0	3	10	4	0	0.0147058823529412	0	0.0450330199638389
ENSG00000173875	chr19_360	0	2	9	5	1	0.034502262443439	0.0444444444444444	0.0623652027230557
ENSG00000173875	chr19_974	0	3	10	4	0	0.0147058823529412	0	0.0450330199638389
ENSG00000128595	chr7_405	0	6	13	6	0	0.00521739130434783	0	0.0386707309784233
ENSG00000127054	chr1_1440	2	10	5	0	6	0.0123839009287926	Inf	0.0434275550185843
ENSG00000127054	chr1_1440	11	10	0	1	2	0.0384615384615384	Inf	0.0643013317431923
ENSG00000127054	chr1_1440	10	11	1	0	2	0.032967032967033	Inf	0.0607714209555761
ENSG00000127054	chr1_968	17	12	1	0	1	0.142857142857143	Inf	0.162369031934249
ENSG00000127054	chr1_461	14	10	6	4	12	0.0731727514850386	5	0.096766009628656
ENSG00000127054	chr1_472	17	12	1	0	1	0.142857142857143	Inf	0.162369031934249
ENSG00000127054	chr1_977	17	12	1	0	1	0.142857142857143	Inf	0.162369031934249
ENSG00000127054	chr1_976	17	12	1	0	1	0.142857142857143	Inf	0.162369031934249
ENSG00000127054	chr1_976	7	6	14	4	0	0.0197628458498024	0	0.0490469698190937
ENSG00000127054	chr1_976	5	4	10	5	0	0.0108359133126935	0	0.0428817603393425
ENSG00000127054	chr1_996	17	12	1	0	1	0.142857142857143	Inf	0.162369031934249
ENSG00000127054	chr1_996	1	6	13	5	0	0.0108695652173913	0	0.0428817603393425
ENSG00000127054	chr1_996	4	5	12	5	0	0.00956937799043062	0	0.0416928455205967
ENSG00000127054	chr1_996	6	5	12	5	0	0.00956937799043062	0	0.0416928455205967
ENSG00000127054	chr1_469	17	12	1	0	1	0.142857142857143	Inf	0.162369031934249
ENSG00000127054	chr1_995	17	12	1	0	1	0.142857142857143	Inf	0.162369031934249
ENSG00000127054	chr1_995	1	6	13	5	0	0.0108695652173913	0	0.0428817603393425
ENSG00000127054	chr1_995	4	5	12	5	0	0.00956937799043062	0	0.0416928455205967
ENSG00000127054	chr1_995	7	5	13	5	1	0.0500832119825255	0.0769230769230769	0.0754765404446934
ENSG00000127054	chr1_995	0	5	10	7	0	0.0053475935828877	0	0.0386707309784233
ENSG00000127054	chr1_995	5	3	9	6	1	0.0197666110978804	0.0555555555555556	0.0490469698190937
ENSG00000127054	chr1_995	6	5	12	5	0	0.00956937799043062	0	0.0416928455205967
ENSG00000127054	chr1_966	17	12	1	0	1	0.142857142857143	Inf	0.162369031934249
ENSG00000127054	chr1_971	17	12	1	0	1	0.142857142857143	Inf	0.162369031934249
ENSG00000127054	chr1_3469	1	6	13	5	0	0.0108695652173913	0	0.0428817603393425
ENSG00000127054	chr1_3469	4	5	12	5	0	0.00956937799043062	0	0.0416928455205967
ENSG00000127054	chr1_3469	7	6	14	4	0	0.0197628458498024	0	0.0490469698190937
ENSG00000127054	chr1_3469	3	3	11	4	0	0.011437908496732	0	0.0434275550185843
ENSG00000127054	chr1_3469	6	5	12	5	0	0.00956937799043062	0	0.0416928455205967
ENSG00000127054	chr1_465	14	10	4	4	14	0.0110017062775912	8.75	0.0430096916108852
ENSG00000127054	chr1_990	11	10	0	1	2	0.0384615384615384	Inf	0.0643013317431923
ENSG00000127054	chr1_990	10	11	1	0	2	0.032967032967033	Inf	0.0607714209555761
ENSG00000127054	chr1_982	2	10	3	0	8	0.00103199174406605	Inf	0.0386707309784233
ENSG00000127054	chr1_982	7	10	6	0	8	0.00642853355196873	Inf	0.0386707309784233
ENSG00000127054	chr1_982	3	7	3	0	8	0.0040221216691805	Inf	0.0386707309784233
ENSG00000127054	chr1_1433	2	10	5	0	6	0.0123839009287926	Inf	0.0434275550185843
ENSG00000127054	chr1_1433	11	10	0	1	2	0.0384615384615384	Inf	0.0643013317431923
ENSG00000127054	chr1_1433	10	11	1	0	2	0.032967032967033	Inf	0.0607714209555761
ENSG00000127054	chr1_1430	2	10	5	0	6	0.0123839009287926	Inf	0.0434275550185843
ENSG00000127054	chr1_1430	11	10	0	1	2	0.0384615384615384	Inf	0.0643013317431923
ENSG00000127054	chr1_1430	10	11	1	0	2	0.032967032967033	Inf	0.0607714209555761
ENSG00000127054	chr1_969	17	12	1	0	1	0.142857142857143	Inf	0.162369031934249
ENSG00000127054	chr1_998	17	12	1	0	1	0.142857142857143	Inf	0.162369031934249
ENSG00000127054	chr1_972	17	12	1	0	1	0.142857142857143	Inf	0.162369031934249
ENSG00000127054	chr1_459	17	12	1	0	1	0.142857142857143	Inf	0.162369031934249
ENSG00000127054	chr1_997	17	12	1	0	1	0.142857142857143	Inf	0.162369031934249
ENSG00000127054	chr1_974	17	12	1	0	1	0.142857142857143	Inf	0.162369031934249
ENSG00000127054	chr1_974	1	4	11	7	2	0.0327433032709651	0.103896103896104	0.0607714209555761
ENSG00000127054	chr1_3470	1	6	13	5	0	0.0108695652173913	0	0.0428817603393425
ENSG00000127054	chr1_3470	4	5	12	5	0	0.00956937799043062	0	0.0416928455205967
ENSG00000127054	chr1_3470	7	6	14	4	0	0.0197628458498024	0	0.0490469698190937
ENSG00000127054	chr1_3470	3	3	11	4	0	0.011437908496732	0	0.0434275550185843
ENSG00000127054	chr1_3470	6	5	12	5	0	0.00956937799043062	0	0.0416928455205967
ENSG00000127054	chr1_986	17	12	1	0	1	0.142857142857143	Inf	0.162369031934249
