HGNC:462	ENSG00000099721	MGI:88005	ENSMUSG00000031354
HGNC:1117	ENSG00000164061	MGI:1277955	ENSMUSG00000032589
HGNC:863	ENSG00000113732	MGI:1328318	ENSMUSG00000015575
HGNC:9230	ENSG00000141934	MGI:1354945	ENSMUSG00000052151
HGNC:924	ENSG00000086062	MGI:95705	ENSMUSG00000028413
HGNC:6081	ENSG00000254647	MGI:96573	ENSMUSG00000000215
HGNC:9141	ENSG00000163344	MGI:1915853	ENSMUSG00000027952
HGNC:6716	ENSG00000168056	MGI:1101355	ENSMUSG00000024940
HGNC:26818	ENSG00000179119	MGI:2142062	ENSMUSG00000049516
HGNC:11934	ENSG00000117586	MGI:104511	ENSMUSG00000026700
HGNC:29801	ENSG00000173542	MGI:1915723	ENSMUSG00000006262
HGNC:4174	ENSG00000141448	MGI:107516	ENSMUSG00000005836
HGNC:23279	ENSG00000232125	MGI:2685061	ENSMUSG00000069085
HGNC:30817	ENSG00000161010	MGI:1915317	ENSMUSG00000020381
HGNC:20880	ENSG00000158669	MGI:2142716	ENSMUSG00000031545
HGNC:23791	ENSG00000203485	MGI:1917685	ENSMUSG00000037679
HGNC:20101	ENSG00000172717	MGI:1918147	ENSMUSG00000056987
HGNC:26560	ENSG00000105479	MGI:2446120	ENSMUSG00000040189
HGNC:1739	ENSG00000093009	MGI:1338073	ENSMUSG00000000028
HGNC:18750	ENSG00000132669	MGI:1921280	ENSMUSG00000001768
HGNC:558	ENSG00000129354	MGI:1336974	ENSMUSG00000003309
HGNC:22923	ENSG00000144591	MGI:1916330	ENSMUSG00000033021
HGNC:29802	ENSG00000172081	MGI:3050117	ENSMUSG00000003348
HGNC:4806	ENSG00000084110	MGI:96010	ENSMUSG00000020017
HGNC:16461	ENSG00000084463	MGI:1891823	ENSMUSG00000030216
HGNC:18177	ENSG00000137960	MGI:1889209	ENSMUSG00000039131
HGNC:40	ENSG00000085563	MGI:97570	ENSMUSG00000040584
HGNC:25451	ENSG00000214753	MGI:1915943	ENSMUSG00000071659
HGNC:10860	ENSG00000073849	MGI:108470	ENSMUSG00000022885
HGNC:10075	ENSG00000101654	MGI:1915147	ENSMUSG00000009535
HGNC:808	ENSG00000101892	MGI:1915071	ENSMUSG00000016327
HGNC:15993	ENSG00000124302	MGI:1916197	ENSMUSG00000060402
HGNC:23576	ENSG00000168172	MGI:2443554	ENSMUSG00000037234
HGNC:27963	ENSG00000164334	MGI:2684939	ENSMUSG00000035420
HGNC:3722	ENSG00000077800	MGI:2137612	ENSMUSG00000040013
HGNC:13005	ENSG00000085644	MGI:3053094	ENSMUSG00000071256
HGNC:26067	ENSG00000006555	MGI:3045307	ENSMUSG00000034919
HGNC:20166	ENSG00000100441	MGI:2451333	ENSMUSG00000047153
HGNC:15878	ENSG00000087589	MGI:2444482	ENSMUSG00000074570
HGNC:17686	ENSG00000107036	MGI:1924893	ENSMUSG00000038658
HGNC:4901	ENSG00000152804	MGI:96086	ENSMUSG00000024986
HGNC:9118	ENSG00000109099	MGI:97631	ENSMUSG00000018217
HGNC:4468	ENSG00000181408	MGI:2183450	ENSMUSG00000039321
HGNC:17930	ENSG00000172733	MGI:1922279	ENSMUSG00000049184
HGNC:2375	ENSG00000042429	MGI:2182585	ENSMUSG00000031935
HGNC:1187	ENSG00000133935	MGI:1915571	ENSMUSG00000021252
HGNC:15464	ENSG00000133710	MGI:1919682	ENSMUSG00000055561
HGNC:8711	ENSG00000253953	MGI:1935173	ENSMUSG00000103585
HGNC:25895	ENSG00000178685	MGI:3712326	ENSMUSG00000063268
HGNC:21074	ENSG00000055211	MGI:2384905	ENSMUSG00000040006
HGNC:9823	ENSG00000185379	MGI:1261809	ENSMUSG00000018841
HGNC:22990	ENSG00000050767	MGI:2653243	ENSMUSG00000063564
HGNC:30401	ENSG00000166477	MGI:2685031	ENSMUSG00000042487
HGNC:11810	ENSG00000155090	MGI:1101353	ENSMUSG00000037465
HGNC:17070	ENSG00000133789	MGI:1298390	ENSMUSG00000031015
HGNC:24097	ENSG00000120318	MGI:2147274	ENSMUSG00000024451
HGNC:18002	ENSG00000100216	MGI:2450248	ENSMUSG00000022427
HGNC:3356	ENSG00000197594	MGI:97370	ENSMUSG00000037370
HGNC:21373	ENSG00000196182	MGI:1921428	ENSMUSG00000042608
HGNC:172	ENSG00000135503	MGI:1338944	ENSMUSG00000000532
HGNC:29589	ENSG00000186118	MGI:1922423	ENSMUSG00000044556
HGNC:2205	ENSG00000113163	MGI:1915268	ENSMUSG00000021669
HGNC:28719	ENSG00000214367	MGI:2387633	ENSMUSG00000079555
HGNC:25761	ENSG00000186063	MGI:1919737	ENSMUSG00000042901
HGNC:17870	ENSG00000119509	MGI:1335082	ENSMUSG00000028344
HGNC:25455	ENSG00000158526	MGI:1916749	ENSMUSG00000025264
HGNC:32327	ENSG00000171357	MGI:1915325	ENSMUSG00000028701
HGNC:11834	ENSG00000163931	MGI:105992	ENSMUSG00000021957
HGNC:6746	ENSG00000188554	MGI:108498	ENSMUSG00000017119
HGNC:2121	ENSG00000174600	MGI:109603	ENSMUSG00000042190
HGNC:11827	ENSG00000104067	MGI:98759	ENSMUSG00000030516
HGNC:15576	ENSG00000071909	MGI:2448580	ENSMUSG00000042064
HGNC:9019	ENSG00000168734	MGI:1343086	ENSMUSG00000035268
HGNC:11916	ENSG00000067182	MGI:1314884	ENSMUSG00000030341
HGNC:8062	ENSG00000124789	MGI:2385621	ENSMUSG00000021374
HGNC:6866	ENSG00000071054	MGI:1349394	ENSMUSG00000026074
HGNC:5132	ENSG00000128645	MGI:96201	ENSMUSG00000042448
HGNC:30888	ENSG00000156787	MGI:2684931	ENSMUSG00000022364
HGNC:9015	ENSG00000130943	MGI:1338786	ENSMUSG00000052496
