Ensembl.Gene.ID	Enhancer.grp	AE_nth	Non.spliced.without.enhancer	Spliced.without.enhancer	Non.spliced.with.enhancer	Spliced.with.enhancer	Fisher.P.value	Odds.ratio	q_fdr
ENSG00000166224	chr10_404	1	3	13	1	0	0.235294117647059	0	0.268735937996282
ENSG00000109971	chr11_4025	3	12	0	0	3	0.0021978021978022	Inf	0.0399914565072937
ENSG00000109971	chr11_212	3	12	0	0	3	0.0021978021978022	Inf	0.0399914565072937
ENSG00000109971	chr11_4026	3	12	0	0	3	0.0021978021978022	Inf	0.0399914565072937
ENSG00000109971	chr11_3139	3	12	0	0	3	0.0021978021978022	Inf	0.0399914565072937
ENSG00000109971	chr11_2530	9	7	14	5	1	0.060163507989595	0.1	0.0975249852378095
ENSG00000109971	chr11_2530	3	11	0	1	3	0.00879120879120879	Inf	0.0525683399337514
ENSG00000109971	chr11_3529	3	10	0	2	3	0.021978021978022	Inf	0.0615537366819844
ENSG00000109971	chr11_1435	3	12	0	0	3	0.0021978021978022	Inf	0.0399914565072937
ENSG00000109971	chr11_4027	3	12	0	0	3	0.0021978021978022	Inf	0.0399914565072937
ENSG00000109971	chr11_1433	3	12	0	0	3	0.0021978021978022	Inf	0.0399914565072937
ENSG00000109971	chr11_4030	3	12	0	0	3	0.0021978021978022	Inf	0.0399914565072937
ENSG00000109971	chr11_4024	3	12	0	0	3	0.0021978021978022	Inf	0.0399914565072937
ENSG00000109971	chr11_213	8	6	15	2	0	0.110671936758893	0	0.145363229559165
ENSG00000109971	chr11_4029	3	12	0	0	3	0.0021978021978022	Inf	0.0399914565072937
ENSG00000109971	chr11_1434	3	12	0	0	3	0.0021978021978022	Inf	0.0399914565072937
ENSG00000141013	chr16_1782	1	17	8	0	3	0.0503663003663004	Inf	0.0905225379948077
ENSG00000141013	chr16_444	1	14	5	3	6	0.0946329033285555	5.6	0.129306227225034
ENSG00000141013	chr16_444	2	14	6	1	7	0.0107660455486542	16.3333333333333	0.0543526525328698
ENSG00000177058	chr5_2930	24	16	6	0	2	0.101449275362319	Inf	0.135578583765112
ENSG00000116761	chr1_2230	0	6	12	6	0	0.0137299771167048	0	0.0553274825461727
ENSG00000090266	chr7_2113	3	5	13	3	0	0.0421052631578947	0	0.081834203747807
ENSG00000009307	chr1_3802	8	21	13	0	4	0.0322427690848744	Inf	0.0725452197265291
ENSG00000242110	chr5_3369	16	12	0	0	1	0.0769230769230769	Inf	0.111714140498972
ENSG00000242110	chr5_3369	6	10	0	0	1	0.0909090909090909	Inf	0.125046069213892
ENSG00000242110	chr5_3364	16	12	0	0	1	0.0769230769230769	Inf	0.111714140498972
ENSG00000242110	chr5_3364	6	10	0	0	1	0.0909090909090909	Inf	0.125046069213892
ENSG00000242110	chr5_700	16	12	0	0	1	0.0769230769230769	Inf	0.111714140498972
ENSG00000242110	chr5_700	5	12	2	0	2	0.05	Inf	0.0905225379948077
ENSG00000242110	chr5_700	6	10	0	0	1	0.0909090909090909	Inf	0.125046069213892
ENSG00000242110	chr5_3366	16	12	0	0	1	0.0769230769230769	Inf	0.111714140498972
ENSG00000242110	chr5_3366	6	10	0	0	1	0.0909090909090909	Inf	0.125046069213892
ENSG00000242110	chr5_3365	16	12	0	0	1	0.0769230769230769	Inf	0.111714140498972
ENSG00000242110	chr5_3365	6	10	0	0	1	0.0909090909090909	Inf	0.125046069213892
ENSG00000242110	chr5_699	5	12	2	0	2	0.05	Inf	0.0905225379948077
ENSG00000242110	chr5_3172	16	12	0	0	1	0.0769230769230769	Inf	0.111714140498972
ENSG00000242110	chr5_3172	6	10	0	0	1	0.0909090909090909	Inf	0.125046069213892
ENSG00000073849	chr3_4618	3	14	5	0	3	0.0363636363636364	Inf	0.076539526654223
ENSG00000073849	chr3_490	16	13	5	3	13	0.00256542511272532	11.2666666666667	0.042300228685165
ENSG00000073849	chr3_490	13	12	4	1	10	0.00133909653360454	30	0.03791147190611
ENSG00000073849	chr3_490	12	12	5	1	10	0.00208492245105518	24	0.0399914565072937
ENSG00000073849	chr3_490	10	13	5	1	10	0.0016991504247876	26	0.0392534543696258
