Ensembl.Gene.ID	Enhancer.grp	AE_nth	Non.spliced.without.enhancer	Spliced.without.enhancer	Non.spliced.with.enhancer	Spliced.with.enhancer	Fisher.P.value	Odds.ratio	q_fdr
ENSG00000164620	chr5_1083	0	9	3	2	10	0.0122781377997423	15	0.0542225632372039
ENSG00000141013	chr16_689	0	1	6	7	1	0.0101010101010101	0.0238095238095238	0.0527841732753475
ENSG00000177058	chr5_259	9	11	6	4	10	0.0731727514850384	4.58333333333333	0.114281263925599
ENSG00000177058	chr5_259	7	9	3	3	8	0.039125701327882	8	0.0803066489753796
ENSG00000215908	chr1_520	2	13	7	1	6	0.0328502415458937	11.1428571428571	0.0736496349269837
ENSG00000215908	chr1_522	2	13	7	1	6	0.0328502415458937	11.1428571428571	0.0736496349269837
ENSG00000171792	chr12_230	1	15	7	2	7	0.0438716125808063	7.5	0.0874990656305536
ENSG00000171792	chr12_230	0	15	7	1	7	0.0120939530234883	15	0.0542225632372039
ENSG00000171792	chr12_528	1	16	7	1	7	0.0108581551518148	16	0.0534458398744114
ENSG00000171792	chr12_528	0	16	7	0	7	0.00168582375478927	Inf	0.0369633074836382
ENSG00000171792	chr12_1482	1	16	9	1	5	0.0671116054875787	8.88888888888889	0.106468527904223
ENSG00000171792	chr12_1482	0	16	9	0	5	0.0140485312899106	Inf	0.0546920809336771
ENSG00000166747	chr16_2112	1	6	14	4	0	0.0197628458498024	0	0.0601120388412096
ENSG00000166747	chr16_2112	2	5	10	6	0	0.0123839009287926	0	0.0542225632372039
ENSG00000166747	chr16_1091	1	6	14	4	0	0.0197628458498024	0	0.0601120388412096
ENSG00000166747	chr16_154	1	6	14	4	0	0.0197628458498024	0	0.0601120388412096
ENSG00000166747	chr16_155	1	5	14	5	0	0.00592885375494072	0	0.0472158657513349
ENSG00000166747	chr16_155	2	5	10	6	0	0.0123839009287926	0	0.0542225632372039
ENSG00000166747	chr16_1090	1	5	14	5	0	0.00592885375494072	0	0.0472158657513349
ENSG00000166747	chr16_1090	2	5	10	6	0	0.0123839009287926	0	0.0542225632372039
ENSG00000166747	chr16_28	1	6	14	4	0	0.0197628458498024	0	0.0601120388412096
ENSG00000013561	chr5_2524	1	16	5	0	2	0.0830039525691699	Inf	0.121528521453559
ENSG00000013561	chr5_2524	2	17	8	0	2	0.128205128205128	Inf	0.164490054258285
ENSG00000013561	chr5_3064	1	16	5	0	2	0.0830039525691699	Inf	0.121528521453559
