Ensembl Gene ID	Enhancer grp	AE_nth	Enhancer_activity;3T3-L1;SRR988305	Enhancer_activity;3T3-L1;SRR988306	Enhancer_activity;3T3-L1;SRR988307	Enhancer_activity;Brain;SRR650310	Enhancer_activity;Brain;SRR768229	Enhancer_activity;Brain;SRR768230	Enhancer_activity;C3H10Thalf;SRR611158	Enhancer_activity;C3H10Thalf;SRR2042481	Enhancer_activity;C3H10Thalf;SRR2042482	Enhancer_activity;CD4+;SRR1536413	Enhancer_activity;CD4+;SRR1583930	Enhancer_activity;CD4+;SRR1583932	Enhancer_activity;CD4+CD8+;SRR931719	Enhancer_activity;CD4+CD8+;SRR931720	Enhancer_activity;CD4+CD8+;SRR3341012	Enhancer_activity;CD8+;SRR953145	Enhancer_activity;CD8+;SRR1536417	Enhancer_activity;CD8+;SRR2467232	Enhancer_activity;Cerebellum;SRR567488	Enhancer_activity;Cerebellum;SRR1557071	Enhancer_activity;Cerebellum;SRR1557072	Enhancer_activity;Cortex;SRR567480	Enhancer_activity;Cortex;SRR207094	Enhancer_activity;Cortex;SRR496229	Enhancer_activity;ESC_J1;SRR1283908	Enhancer_activity;ESC_J1;SRR1283912	Enhancer_activity;ESC_J1;SRR3109583	Enhancer_activity;Erythroblast_fetal_liver;SRR902019	Enhancer_activity;Erythroblast_fetal_liver;SRR902020	Enhancer_activity;Erythroblast_fetal_liver;SRR549349	Enhancer_activity;GMP;SRR1536393	Enhancer_activity;GMP;SRR2079146	Enhancer_activity;GMP;SRR2124221	Enhancer_activity;Heart;SRR1025234	Enhancer_activity;Heart;SRR207096	Enhancer_activity;Heart;SRR316184	Enhancer_activity;Kidney;SRR207098	Enhancer_activity;Kidney;SRR453144	Enhancer_activity;Kidney;SRR496225	Enhancer_activity;Limb_E14.5;SRR567490	Enhancer_activity;Limb_E14.5;SRR392608	Enhancer_activity;Limb_E14.5;SRR496239	Enhancer_activity;Liver_E14.5;SRR567496	Enhancer_activity;Liver_E14.5;SRR392610	Enhancer_activity;Liver_E14.5;SRR496255	Enhancer_activity;Lung;SRR207102	Enhancer_activity;Lung;SRR453156	Enhancer_activity;Lung;SRR496233	Enhancer_activity;NPC;SRR869690	Enhancer_activity;NPC;SRR869691	Enhancer_activity;NPC;SRR1699468	Enhancer_activity;Spleen;SRR207104	Enhancer_activity;Spleen;SRR453160	Enhancer_activity;Spleen;SRR496253	Enhancer_activity;Striatum;SRR1519958	Enhancer_activity;Striatum;SRR1519959	Enhancer_activity;Striatum;SRR1519960	Enhancer_activity;Testis;SRR765631	Enhancer_activity;Testis;SRR392618	Enhancer_activity;Testis;SRR496243	Enhancer_activity;Th1;SRR038535	Enhancer_activity;Th1;SRR096543	Enhancer_activity;Th1;SRR514288	Enhancer_activity;Th2;SRR2569323	Enhancer_activity;Th2;SRR2569325	Enhancer_activity;Th2;SRR038537	Enhancer_activity;Thymus;SRR345618	Enhancer_activity;Thymus;SRR345621	Enhancer_activity;Thymus;SRR345622	Enhancer_activity;WAT;SRR1732525	Enhancer_activity;WAT;SRR1732526	Enhancer_activity;WAT;SRR1732527	AS_type;3T3-L1;SRR988305	AS_type;3T3-L1;SRR988306	AS_type;3T3-L1;SRR988307	AS_type;Brain;SRR650310	AS_type;Brain;SRR768229	AS_type;Brain;SRR768230	AS_type;C3H10Thalf;SRR611158	AS_type;C3H10Thalf;SRR2042481	AS_type;C3H10Thalf;SRR2042482	AS_type;CD4+;SRR1536413	AS_type;CD4+;SRR1583930	AS_type;CD4+;SRR1583932	AS_type;CD4+CD8+;SRR931719	AS_type;CD4+CD8+;SRR931720	AS_type;CD4+CD8+;SRR3341012	AS_type;CD8+;SRR953145	AS_type;CD8+;SRR1536417	AS_type;CD8+;SRR2467232	AS_type;Cerebellum;SRR567488	AS_type;Cerebellum;SRR1557071	AS_type;Cerebellum;SRR1557072	AS_type;Cortex;SRR567480	AS_type;Cortex;SRR207094	AS_type;Cortex;SRR496229	AS_type;ESC_J1;SRR1283908	AS_type;ESC_J1;SRR1283912	AS_type;ESC_J1;SRR3109583	AS_type;Erythroblast_fetal_liver;SRR902019	AS_type;Erythroblast_fetal_liver;SRR902020	AS_type;Erythroblast_fetal_liver;SRR549349	AS_type;GMP;SRR1536393	AS_type;GMP;SRR2079146	AS_type;GMP;SRR2124221	AS_type;Heart;SRR1025234	AS_type;Heart;SRR207096	AS_type;Heart;SRR316184	AS_type;Kidney;SRR207098	AS_type;Kidney;SRR453144	AS_type;Kidney;SRR496225	AS_type;Limb_E14.5;SRR567490	AS_type;Limb_E14.5;SRR392608	AS_type;Limb_E14.5;SRR496239	AS_type;Liver_E14.5;SRR567496	AS_type;Liver_E14.5;SRR392610	AS_type;Liver_E14.5;SRR496255	AS_type;Lung;SRR207102	AS_type;Lung;SRR453156	AS_type;Lung;SRR496233	AS_type;NPC;SRR869690	AS_type;NPC;SRR869691	AS_type;NPC;SRR1699468	AS_type;Spleen;SRR207104	AS_type;Spleen;SRR453160	AS_type;Spleen;SRR496253	AS_type;Striatum;SRR1519958	AS_type;Striatum;SRR1519959	AS_type;Striatum;SRR1519960	AS_type;Testis;SRR765631	AS_type;Testis;SRR392618	AS_type;Testis;SRR496243	AS_type;Th1;SRR038535	AS_type;Th1;SRR096543	AS_type;Th1;SRR514288	AS_type;Th2;SRR2569323	AS_type;Th2;SRR2569325	AS_type;Th2;SRR038537	AS_type;Thymus;SRR345618	AS_type;Thymus;SRR345621	AS_type;Thymus;SRR345622	AS_type;WAT;SRR1732525	AS_type;WAT;SRR1732526	AS_type;WAT;SRR1732527	Non-spliced without enhancer	Spliced without enhancer	Non-spliced with enhancer	Spliced with enhancer	Fisher P-value	Odds ratio	q_fdr
ENSMUSG00000008575	chr4_575	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	I	I	0	0	0	NA	NA	I	NA	NA	0	NA	NA	NA	0	E	E	0	E	E	0	0	0	NA	NA	NA	NA	NA	NA	0	E	0	0	I	0	0	0	0	0	0	0	I	I	I	0	0	E	0	I	E	E	0	E	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E	0	0	10	4	0	5	0.0108359133126935	12.5	0.0378096479791395
ENSMUSG00000046110	chr2_1767	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	0	E	0	0	NA	0	0	I	I	0	NA	NA	0	0	E	E	I	0	0	0	NA	0	NA	NA	NA	NA	I	0	E	E	E	0	0	0	I	NA	NA	0	NA	NA	0	I	I	0	0	0	0	0	0	0	0	E	I	NA	NA	NA	NA	NA	0	0	NA	0	0	E	NA	NA	NA	2	8	6	0	0.00699300699300699	0	0.0354060554612337
ENSMUSG00000024055	chr17_1617	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	I	0	0	NA	E	I	0	I	NA	0	0	0	0	E	0	NA	0	0	0	0	0	E	E	I	0	I	NA	NA	NA	NA	0	I	0	0	E	E	0	E	0	0	0	I	0	0	E	0	E	0	0	I	0	0	0	0	E	0	0	NA	NA	NA	NA	E	0	I	E	E	0	E	0	0	0	1	8	13	1	0.000155410614422595	0.00961538461538462	0.0192678726128719
ENSMUSG00000001247	chr7_2037	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	NA	NA	0	0	NA	0	I	0	0	NA	0	E	E	E	E	NA	NA	0	0	I	0	0	0	0	I	I	I	NA	NA	NA	NA	E	0	0	0	0	I	I	0	0	0	0	I	E	E	0	0	0	NA	0	E	0	I	0	0	0	0	I	NA	NA	NA	NA	0	0	E	NA	E	0	0	0	0	E	5	10	6	0	0.0123839009287926	0	0.038300901349022
ENSMUSG00000001247	chr7_2038	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	NA	NA	0	0	NA	0	I	0	0	NA	0	E	E	E	E	NA	NA	0	0	I	0	0	0	0	I	I	I	NA	NA	NA	NA	E	0	0	0	0	I	I	0	0	0	0	I	E	E	0	0	0	NA	0	E	0	I	0	0	0	0	I	NA	NA	NA	NA	0	0	E	NA	E	0	0	0	0	E	5	10	6	0	0.0123839009287926	0	0.038300901349022
ENSMUSG00000023206	chr2_129	9	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	E	0	0	0	E	0	NA	0	E	0	E	0	0	NA	I	E	0	0	0	E	E	NA	NA	E	NA	NA	NA	I	0	E	0	I	0	0	I	0	0	NA	NA	0	NA	NA	0	0	0	E	0	0	0	I	0	E	0	E	0	NA	NA	0	I	0	0	0	0	I	I	I	0	I	0	10	2	2	8	0.00828428537406865	20	0.0355151929637611
ENSMUSG00000023206	chr2_3886	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	E	0	NA	0	E	E	0	E	0	NA	I	0	0	0	0	0	NA	I	E	0	0	E	0	0	NA	NA	NA	NA	NA	NA	NA	I	0	0	0	0	0	0	0	0	NA	NA	E	NA	NA	0	0	0	E	0	0	0	I	0	E	0	0	0	NA	NA	I	NA	0	0	0	NA	I	I	0	E	0	E	11	3	0	4	0.011437908496732	14.6666666666667	0.038300901349022
ENSMUSG00000078716	chr4_243	3	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	E	I	0	0	I	0	0	NA	0	0	E	E	0	NA	NA	0	I	0	0	I	0	0	0	NA	I	NA	NA	0	NA	0	0	E	0	0	E	0	E	I	0	0	0	NA	NA	E	0	E	0	0	0	NA	0	NA	0	0	0	I	NA	NA	NA	NA	NA	NA	NA	NA	E	E	0	0	0	0	2	7	8	0	0.00226244343891403	0	0.028868778280543
ENSMUSG00000007411	chr12_1236	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	I	I	I	E	E	E	I	I	I	0	0	0	0	0	E	0	E	0	I	I	0	I	0	0	0	0	0	0	0	0	E	0	0	I	0	I	0	0	0	I	0	0	0	E	E	0	0	0	I	I	I	0	0	0	I	0	I	I	NA	NA	0	E	0	0	0	0	E	0	E	0	0	0	11	7	0	11	0.0011688198699956	17.2857142857143	0.0253908692933083
ENSMUSG00000007411	chr12_1597	2	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	I	I	I	E	E	E	I	I	I	0	0	0	0	0	E	0	E	0	I	I	0	I	0	0	0	0	0	0	0	0	E	0	0	I	0	I	0	0	0	I	0	0	0	E	E	0	0	0	I	I	I	0	0	0	I	0	I	I	NA	NA	0	E	0	0	0	0	E	0	E	0	0	0	5	18	6	0	0.000972590627763041	0	0.0253908692933083
