Ensembl.Gene.ID	Enhancer.grp	AE_nth	Non.spliced.without.enhancer	Spliced.without.enhancer	Non.spliced.with.enhancer	Spliced.with.enhancer	Fisher.P.value	Odds.ratio	q_fdr
ENSG00000164620	chr5_1086	0	4	9	7	0	0.00472136222910216	0	0.0403019332544594
ENSG00000141013	chr16_37	0	2	10	4	1	0.0276341305753071	0.05	0.0669381420580554
ENSG00000141013	chr16_685	0	3	11	3	0	0.0294117647058823	0	0.0688267800312158
ENSG00000141013	chr16_1216	0	3	11	3	0	0.0294117647058823	0	0.0688267800312158
ENSG00000141013	chr16_689	0	3	11	3	0	0.0294117647058823	0	0.0688267800312158
ENSG00000105364	chr19_951	0	13	6	0	5	0.0108695652173913	Inf	0.0485986727403425
ENSG00000105364	chr19_3633	4	1	10	2	0	0.0384615384615385	0	0.0771437217101863
ENSG00000105364	chr19_1297	4	1	10	2	0	0.0384615384615385	0	0.0771437217101863
ENSG00000105364	chr19_308	0	11	1	2	10	0.000644193604215143	55	0.0213448456305599
ENSG00000105364	chr19_24	4	1	10	2	0	0.0384615384615385	0	0.0771437217101863
ENSG00000105364	chr19_327	0	13	4	0	7	0.0009534706331045	Inf	0.0247720172766449
ENSG00000105364	chr19_23	0	11	1	2	10	0.000644193604215143	55	0.0213448456305599
ENSG00000105364	chr19_119	0	13	4	0	7	0.0009534706331045	Inf	0.0247720172766449
ENSG00000105364	chr19_316	0	10	3	3	8	0.037727390727458	8.88888888888889	0.0762712837158275
ENSG00000105364	chr19_1294	4	1	10	2	0	0.0384615384615385	0	0.0771437217101863
ENSG00000105364	chr19_321	1	14	6	1	8	0.00519740129935031	18.6666666666667	0.040306324110672
ENSG00000105364	chr19_3632	4	1	10	2	0	0.0384615384615385	0	0.0771437217101863
ENSG00000105364	chr19_328	0	13	4	0	7	0.0009534706331045	Inf	0.0247720172766449
ENSG00000105364	chr19_2491	4	1	10	2	0	0.0384615384615385	0	0.0771437217101863
ENSG00000105364	chr19_309	0	10	2	3	9	0.0122781377997423	15	0.0511619836818484
ENSG00000105364	chr19_310	0	10	2	3	9	0.0122781377997423	15	0.0511619836818484
ENSG00000105364	chr19_305	0	12	4	1	7	0.00780724188989096	21	0.0443562418442801
ENSG00000105364	chr19_306	0	10	2	3	9	0.0122781377997423	15	0.0511619836818484
ENSG00000105364	chr19_311	2	5	12	7	1	0.0111670480549199	0.0595238095238095	0.0490492344034655
ENSG00000105364	chr19_311	1	6	13	9	1	0.00519740129935031	0.0512820512820513	0.040306324110672
ENSG00000105364	chr19_320	0	11	3	2	8	0.011088302597927	14.6666666666667	0.0488964176183185
ENSG00000105364	chr19_317	0	13	5	0	6	0.00343249427917621	Inf	0.0383943624262151
