HGNC:16049	ENSG00000110958	MGI:1929282,MGI:3704271	ENSMUSG00000071072,ENSMUSG00000040078
HGNC:8170	ENSG00000255582	MGI:3031345,MGI:3031344	ENSMUSG00000063867,ENSMUSG00000063106
HGNC:15335	ENSG00000179615	MGI:3030601,MGI:3030599	ENSMUSG00000059762,ENSMUSG00000056853
HGNC:16312	ENSG00000242019	MGI:3612791,MGI:2652397	ENSMUSG00000057439,ENSMUSG00000031424
HGNC:33983,HGNC:18292	ENSG00000152093,ENSG00000136698	MGI:109448	ENSMUSG00000026124
HGNC:13479	ENSG00000135226	MGI:98900,MGI:2148239,MGI:2140794	ENSMUSG00000054630,ENSMUSG00000057425,ENSMUSG00000061906
HGNC:34005,HGNC:19702	ENSG00000272391,ENSG00000196313	MGI:2137624	ENSMUSG00000053293
HGNC:20044	ENSG00000152147	MGI:1914492,MGI:3645567	ENSMUSG00000055760,ENSMUSG00000071237
HGNC:14729,HGNC:8234	ENSG00000180658,ENSG00000243896	MGI:104812	ENSMUSG00000043605
HGNC:12538	ENSG00000167165	MGI:3580629,MGI:2137698	ENSMUSG00000090145,ENSMUSG00000054545
HGNC:7032	ENSG00000140259	MGI:3694697,MGI:1914782	ENSMUSG00000048222,ENSMUSG00000068479
HGNC:1246	ENSG00000159403	MGI:1355313,MGI:3779804	ENSMUSG00000055172,ENSMUSG00000098470
HGNC:6364	ENSG00000142515	MGI:892020,MGI:97320,MGI:891981,MGI:892022,MGI:95293,MGI:892019,MGI:891982,MGI:892023,MGI:97322,MGI:892018,MGI:102850,MGI:891980,MGI:95291,MGI:892021	ENSMUSG00000066512,ENSMUSG00000066513,ENSMUSG00000053719,ENSMUSG00000066516,ENSMUSG00000059042,ENSMUSG00000063133,ENSMUSG00000038968,ENSMUSG00000044485,ENSMUSG00000066515,ENSMUSG00000063089,ENSMUSG00000063903,ENSMUSG00000063177,ENSMUSG00000060177,ENSMUSG00000063713
HGNC:30060,HGNC:25242,HGNC:22652	ENSG00000103512,ENSG00000103226,ENSG00000185164	MGI:2385850	ENSMUSG00000030835
HGNC:13966	ENSG00000168131	MGI:3031194,MGI:3031193	ENSMUSG00000108534,ENSMUSG00000108674
HGNC:32417,HGNC:9849,HGNC:32418,HGNC:32419,HGNC:32414,HGNC:32415,HGNC:32416	ENSG00000196862,ENSG00000169629,ENSG00000015568,ENSG00000183054,ENSG00000187627,ENSG00000185304,ENSG00000153165	MGI:894323	ENSMUSG00000003226
HGNC:10480	ENSG00000163602	MGI:3648043,MGI:1929059	ENSMUSG00000055763,ENSMUSG00000072872
