grp	start	end
chr1_1	4798060	4798530
chr1_10	4774180	4776310
chr1_100	34066740	34069570
chr1_1000	95237690	95239100
chr1_1001	95425350	95427670
chr1_1002	95019710	95021810
chr1_1003	95036980	95037520
chr1_1004	95038710	95041080
chr1_1005	95075170	95077640
chr1_1006	95077790	95079940
chr1_1007	95105950	95107930
chr1_1008	95113660	95115150
chr1_1009	95529820	95532120
chr1_101	34097690	34098640
chr1_1010	95582430	95582990
chr1_1011	95588400	95590630
chr1_1012	95596180	95598180
chr1_1013	95697480	95698270
chr1_1014	95700610	95702620
chr1_1015	95702690	95703940
chr1_1016	95722150	95723970
chr1_1017	95583240	95585730
chr1_1018	97213610	97214090
chr1_1019	99488950	99490870
chr1_102	34115690	34117820
chr1_1020	99550820	99551170
chr1_1021	99807010	99808760
chr1_1022	99664650	99666430
chr1_1023	99873830	99875800
chr1_1024	99898120	99900510
chr1_1025	99952730	99954540
chr1_1026	99990000	99991520
chr1_1027	99955220	99957050
chr1_1028	99957900	99959970
chr1_1029	107561210	107562230
chr1_103	34129810	34132270
chr1_1030	107614180	107615350
chr1_1031	107619580	107621500
chr1_1032	107637930	107639780
chr1_1033	107695040	107696690
chr1_1034	107724310	107726380
chr1_1035	107774170	107774870
chr1_1036	107843690	107844420
chr1_1037	107860700	107862780
chr1_1038	107893800	107894160
chr1_1039	107935750	107936360
chr1_104	33955980	33957930
chr1_1040	107938720	107940980
chr1_1041	108070020	108072010
chr1_1042	108137320	108139740
chr1_1043	108175240	108177650
chr1_1044	107821250	107823260
chr1_1045	108164500	108165370
chr1_1046	108185650	108187110
chr1_1047	108213130	108214140
chr1_1048	108215590	108216180
chr1_1049	108237820	108239950
chr1_105	34129100	34129620
chr1_1050	108274700	108276420
chr1_1051	108299040	108300640
chr1_1052	108199160	108200630
chr1_1053	108249030	108250490
chr1_1054	108422980	108424410
chr1_1055	108477960	108478910
chr1_1056	108480710	108482460
chr1_1057	108535880	108538350
chr1_1058	108590370	108591200
chr1_1059	108591690	108593140
chr1_106	34133280	34135450
chr1_1060	108596400	108598270
chr1_1061	108598960	108600320
chr1_1062	108648700	108649060
chr1_1063	108652920	108654390
chr1_1064	108654490	108656120
chr1_1065	108718120	108719260
chr1_1066	108691180	108693540
chr1_1067	108479730	108480200
chr1_1068	108766030	108768160
chr1_1069	108374060	108375200
chr1_107	34183950	34185580
chr1_1070	109486860	109488010
chr1_1071	120218570	120220150
chr1_1072	120324180	120326050
chr1_1073	120330710	120332850
chr1_1074	120350240	120350520
chr1_1075	120352760	120355240
chr1_1076	120355840	120356370
chr1_1077	120420550	120422980
chr1_1078	120774400	120776530
chr1_1079	120786970	120789330
