chr10_1004;chr19_957
chr10_1007;chr19_959
chr10_1008;chr19_1710
chr10_1009;chr19_1872
chr10_1011;chr19_2795
chr10_1013;chr19_2507
chr10_1014;chr19_971
chr10_1015;chr19_1009
chr10_1015;chr19_1010
chr10_1016;chr19_1001
chr10_1017;chr19_1002
chr10_101;chr8_2911
chr10_1022;chr19_1020
chr10_1024;chr19_1877
chr10_1026;chr19_1876
chr10_1030;chr19_1510
chr10_1035;chr19_2728
chr10_1037;chr19_1057
chr10_1039;chr19_1072
chr10_1046;chr19_1482
chr10_104;chr6_1811
chr10_1053;chr19_1107
chr10_1055;chr19_1118
chr10_1056;chr19_1105
chr10_1057;chr19_1164
chr10_1059;chr19_1178
chr10_1060;chr19_1332
chr10_1066;chr19_1188
chr10_1067;chr19_1192
chr10_1067;chr19_1197
chr10_1069;chr19_1193
chr10_1074;chr19_2570
chr10_1077;chr7_2238
chr10_1078;chr7_2238
chr10_1078;chr7_2239
chr10_1079;chr7_2240
chr10_1080;chr7_2420
chr10_1081;chr7_2241
chr10_1086;chr7_1363
chr10_1099;chr7_3576
chr10_1100;chr7_3938
chr10_1110;chr7_1454
chr10_1110;chr7_1455
chr10_1111;chr7_3581
chr10_1115;chr7_1495
chr10_1118;chr7_4291
chr10_1124;chr2_4197
chr10_1125;chr2_5032
chr10_1133;chr18_71
chr10_1134;chr18_3092
chr10_1137;chr18_2957
chr10_1142;chr6_3442
chr10_1142;chr6_3443
chr10_1146;chr14_1817
chr10_1150;chr19_2044
chr10_1152;chr10_3083
chr10_1165;chr10_508
chr10_1172;chr14_1819
chr10_1174;chr19_776
chr10_1175;chr19_795
chr10_1176;chr19_1828
chr10_1178;chr19_1834
chr10_1180;chr19_2061
chr10_1181;chr19_2403
chr10_1182;chr19_863
chr10_1184;chr19_2703
chr10_1189;chr19_958
chr10_1190;chr19_1308
chr10_1191;chr19_979
chr10_1192;chr19_974
chr10_1193;chr19_995
chr10_1195;chr19_1720
chr10_1196;chr19_2511
chr10_1202;chr19_1740
chr10_1204;chr19_2135
chr10_1205;chr19_2360
chr10_1209;chr19_2882
chr10_1212;chr19_1201
chr10_1213;chr7_1391
chr10_1215;chr7_3929
chr10_1217;chr7_3452
chr10_1224;chr2_108
chr10_1228;chr2_8341
chr10_1229;chr2_8342
chr10_1240;chr2_154
chr10_1242;chr2_3427
chr10_1260;chr2_7748
chr10_1285;chr6_4170
chr10_1288;chr6_3441
chr10_1288;chr6_3442
chr10_1289;chr6_3445
chr10_1301;chr19_2045
chr10_1313;chr10_3488
chr10_1314;chr10_2667
chr10_1328;chr10_584
chr10_1329;chr10_3474
chr10_1331;chr10_543
chr10_1331;chr10_544
chr10_1351;chr14_1101
chr10_1352;chr14_1102
chr10_1353;chr14_2223
chr10_1357;chr14_166
chr10_135;chr6_1792
chr10_137;chr6_1757
chr10_138;chr6_2570
chr10_1395;chr18_1538
chr10_139;chr19_2277
chr10_139;chr19_2551
chr10_1405;chr19_906
chr10_1406;chr19_906
chr10_140;chr19_745
chr10_1415;chr19_2321
chr10_141;chr19_737
chr10_1421;chr19_939
chr10_1436;chr19_1873
chr10_1440;chr19_1730
chr10_1450;chr19_2881
chr10_1451;chr19_2882
chr10_1466;chr7_3915
chr10_1469;chr7_1873
chr10_146;chr10_1841
chr10_1474;chr7_3105
chr10_147;chr10_2690
chr10_1487;chr19_2711
chr10_1497;chr1_3423
chr10_1497;chr2_8348
chr10_149;chr10_685
chr10_1501;chr2_7184
chr10_1504;chr2_61
chr10_1518;chr2_195
chr10_151;chr10_3883
chr10_151;chr10_3886
chr10_1521;chr18_2186
chr10_1538;chr10_720
chr10_1550;chr10_4872
chr10_1551;chr10_2648
chr10_1556;chr10_578
chr10_1559;chr10_2626
chr10_155;chr10_1826
chr10_1566;chr14_87
chr10_156;chr10_2671
chr10_1570;chr14_2110
chr10_1570;chr14_2111
chr10_1572;chr14_2954
chr10_1575;chr14_1763
chr10_1576;chr14_1765
chr10_157;chr10_2123
chr10_1581;chr14_3648
chr10_1586;chr14_2110
chr10_158;chr10_601
chr10_158;chr10_602
chr10_1598;chr19_800
chr10_1598;chr19_804
chr10_1599;chr19_2054
chr10_1599;chr19_804
chr10_159;chr10_2655
chr10_1600;chr19_1411
chr10_1601;chr19_809
chr10_1605;chr19_845
chr10_1606;chr19_1506
chr10_1609;chr19_1287
chr10_1618;chr19_1705
chr10_1620;chr19_2722
chr10_1622;chr19_1711
chr10_1623;chr19_1716
chr10_1624;chr19_978
chr10_1628;chr19_1950
chr10_1629;chr19_1040
chr10_162;chr14_92
chr10_1631;chr19_1042
chr10_1636;chr19_2512
chr10_1637;chr19_1096
chr10_1640;chr7_1364
chr10_1643;chr7_4265
chr10_164;chr14_3276
chr10_1651;chr7_3451
chr10_1654;chr7_4273
chr10_1656;chr7_1471
chr10_1663;chr13_23
chr10_1663;chr13_2984
chr10_166;chr14_119
chr10_1673;chr2_103
chr10_1677;chr2_5024
chr10_1677;chr2_6853
chr10_167;chr14_3292
chr10_1691;chr2_154
chr10_170;chr14_128
chr10_1711;chr2_7232
chr10_1733;chr19_2917
chr10_1736;chr10_610
chr10_1764;chr19_2686
chr10_1765;chr19_2058
chr10_1780;chr19_1944
chr10_1780;chr19_2698
chr10_1781;chr19_905
chr10_1783;chr19_917
chr10_1789;chr19_1052
chr10_1802;chr19_1194
chr10_1806;chr7_3085
chr10_1815;chr2_153
chr10_1819;chr18_1118
chr10_1821;chr6_2839
chr10_1822;chr6_5038
chr10_1826;chr14_331
chr10_1833;chr10_3868
chr10_1835;chr10_3475
chr10_1843;chr14_2948
chr10_1854;chr19_848
chr10_1854;chr19_851
chr10_1866;chr19_1479
chr10_186;chr14_168
chr10_1872;chr7_1505
chr10_188;chr14_1118
chr10_1907;chr2_5542
chr10_1913;chr18_1114
chr10_191;chr14_191
chr10_1921;chr10_3497
chr10_1928;chr14_1334
chr10_1929;chr14_2704
chr10_192;chr14_193
chr10_1931;chr14_2357
chr10_1941;chr19_1937
chr10_1941;chr19_778
chr10_1943;chr19_789
chr10_1949;chr19_1835
chr10_1951;chr19_846
chr10_1953;chr19_1685
chr10_1961;chr19_1945
chr10_1963;chr19_2322
chr10_1965;chr19_2928
chr10_196;chr14_211
chr10_197;chr14_211
chr10_1988;chr13_57
chr10_1990;chr13_60
chr10_19;chr6_1751
chr10_2001;chr13_1674
chr10_2004;chr13_2515
chr10_2004;chr13_41
chr10_2007;chr13_34
chr10_2007;chr13_35
chr10_200;chr14_1768
chr10_2010;chr13_4485
chr10_2011;chr13_40
chr10_201;chr14_2983
chr10_2021;chr13_1657
chr10_2022;chr13_23
chr10_2022;chr13_2984
chr10_2034;chr13_3554
chr10_2035;chr13_10
chr10_2036;chr13_10
chr10_2036;chr13_21
chr10_203;chr14_3633
chr10_2041;chr13_2978
chr10_2043;chr2_129
chr10_2046;chr2_5347
chr10_2048;chr2_118
chr10_2048;chr2_6118
chr10_204;chr14_189
chr10_2051;chr2_8242
chr10_2061;chr2_90
chr10_2066;chr2_65
chr10_206;chr14_205
chr10_2070;chr2_5022
chr10_2071;chr2_5519
chr10_2072;chr2_5513
chr10_2076;chr2_5020
chr10_2079;chr2_2837
chr10_2080;chr2_3390
chr10_2081;chr2_159
chr10_2088;chr2_4207
chr10_2094;chr2_3437
chr10_2110;chr2_3444
chr10_2111;chr2_3454
chr10_2115;chr2_194
chr10_2128;chr2_197
chr10_2141;chr2_205
chr10_214;chr14_189
chr10_2150;chr18_1115
chr10_2151;chr18_78
chr10_2152;chr18_2656
chr10_2154;chr18_1854
chr10_2158;chr18_28
chr10_2159;chr18_1791
chr10_2159;chr18_2406
chr10_2165;chr18_1236
chr10_2166;chr18_1855
chr10_2167;chr18_20
chr10_2170;chr18_2651
chr10_2173;chr18_2186
chr10_217;chr6_1809
chr10_2184;chr8_3686
chr10_2185;chr8_4748
chr10_2186;chr8_4750
chr10_2193;chr18_97
chr10_2193;chr18_98
chr10_2195;chr18_1876
chr10_219;chr14_226
chr10_2201;chr6_1809
chr10_2206;chr6_1809
chr10_2210;chr6_1809
chr10_2215;chr14_328
chr10_2216;chr14_328
chr10_2216;chr8_1455
chr10_2218;chr14_3645
chr10_221;chr19_1454
chr10_2225;chr14_318
chr10_2228;chr14_315
chr10_2231;chr19_1401
chr10_2232;chr19_725
chr10_2234;chr19_712
chr10_223;chr19_2282
chr10_2251;chr10_2135
chr10_2252;chr10_652
chr10_2254;chr10_631
chr10_2255;chr10_2677
chr10_2256;chr10_635
chr10_2257;chr10_2122
chr10_2258;chr10_2123
chr10_2265;chr10_597
chr10_2270;chr10_596
chr10_2275;chr10_587
chr10_2275;chr10_588
chr10_2276;chr10_570
chr10_2283;chr10_558
chr10_2284;chr10_558
chr10_2285;chr10_3240
chr10_2293;chr10_552
chr10_2299;chr14_1310
chr10_2299;chr14_2700
chr10_229;chr19_1504
chr10_22;chr10_566
chr10_2300;chr14_2700
chr10_2301;chr14_2701
chr10_2306;chr14_2941
chr10_2309;chr14_119
chr10_2312;chr14_131
chr10_231;chr19_814
chr10_2325;chr14_163
chr10_2327;chr14_2717
chr10_2328;chr14_3787
chr10_2329;chr14_1109
chr10_2341;chr14_2718
chr10_2345;chr14_197
chr10_2346;chr14_200
chr10_2348;chr14_184
chr10_2349;chr14_206
chr10_2350;chr14_2095
chr10_2351;chr14_1343
chr10_2354;chr14_361
chr10_2356;chr14_3208
chr10_2365;chr14_344
chr10_2371;chr19_780
chr10_2377;chr19_796
chr10_2387;chr19_811
chr10_2389;chr19_812
chr10_238;chr19_830
chr10_2396;chr19_873
chr10_2397;chr19_875
chr10_23;chr10_520
chr10_2401;chr19_2071
chr10_2414;chr19_2318
chr10_2420;chr12_2949
chr10_2422;chr19_2412
chr10_2424;chr19_2316
chr10_2434;chr19_1478
chr10_2435;chr19_985
chr10_2437;chr19_993
chr10_2438;chr19_1006
chr10_243;chr19_2940
chr10_2441;chr19_1032
chr10_2441;chr19_1035
chr10_2442;chr19_1878
chr10_2445;chr19_1037
chr10_2446;chr19_1037
chr10_2448;chr19_1728
chr10_2449;chr19_1729
chr10_2450;chr19_1039
chr10_2452;chr19_1051
chr10_2459;chr19_2103
chr10_2472;chr19_1079
chr10_2478;chr19_1111
chr10_2487;chr2_8182
chr10_248;chr19_887
chr10_2491;chr19_1149
chr10_2492;chr19_1149
chr10_2492;chr19_1150
chr10_2493;chr19_2357
chr10_24;chr14_192
chr10_2502;chr19_1179
chr10_2515;chr19_2759
chr10_2525;chr7_1368
chr10_2526;chr7_3923
chr10_2529;chr7_3917
chr10_2530;chr7_3918
chr10_2531;chr7_1384
chr10_2531;chr7_1385
chr10_2532;chr7_3921
chr10_2533;chr7_3921
chr10_2536;chr7_4266
chr10_2539;chr7_4467
chr10_2540;chr7_1396
chr10_2542;chr7_4468
chr10_2544;chr7_1399
chr10_2544;chr7_3926
chr10_2545;chr7_3083
chr10_2547;chr7_1394
chr10_2549;chr7_3216
chr10_2550;chr7_3089
chr10_2551;chr7_5227
chr10_2556;chr7_5024
chr10_2559;chr7_1883
chr10_2560;chr7_2498
chr10_2568;chr7_3453
chr10_2569;chr7_3453
chr10_2571;chr7_3102
chr10_2572;chr7_4751
chr10_2583;chr7_3217
chr10_2585;chr7_3120
chr10_2586;chr7_2428
chr10_2592;chr2_3421
chr10_2598;chr2_8031
chr10_2602;chr2_4213
chr10_2604;chr2_5549
chr10_2605;chr18_1869
chr10_2606;chr18_1793
chr10_260;chr19_2313
chr10_2613;chr10_547
chr10_2615;chr14_2949
chr10_2617;chr19_2314
chr10_261;chr19_2076
chr10_2622;chr7_2249
chr10_2628;chr7_3450
chr10_262;chr19_2311
chr10_2634;chr10_4632
chr10_2647;chr18_2662
chr10_2649;chr6_3437
chr10_264;chr19_911
chr10_2659;chr19_1709
chr10_265;chr19_2559
chr10_2663;chr19_1201
chr10_2664;chr7_2424
chr10_2665;chr7_3955
chr10_2669;chr18_1870
chr10_2671;chr10_2629
chr10_2678;chr19_974
chr10_2678;chr19_978
chr10_267;chr19_1696
chr10_2699;chr2_7742
chr10_269;chr19_1472
chr10_2705;chr2_6130
chr10_270;chr19_932
chr10_271;chr19_963
chr10_2721;chr2_7751
chr10_2723;chr2_7750
chr10_2734;chr18_2400
chr10_2735;chr2_4364
chr10_273;chr19_1725
chr10_274;chr19_1726
chr10_275;chr19_1024
chr10_2760;chr10_2691
chr10_276;chr19_1316
chr10_276;chr19_2419
chr10_277;chr19_1315
chr10_278;chr19_2419
chr10_27;chr19_861
chr10_2822;chr19_2942
chr10_2832;chr19_1301
chr10_2837;chr19_1862
chr10_2837;chr19_1863
chr10_2838;chr19_1473
chr10_2839;chr19_2417
chr10_2858;chr19_2803
chr10_2866;chr19_1887
