Ensembl.Gene.ID	Enhancer.grp	AE_nth	Non.spliced.without.enhancer	Spliced.without.enhancer	Non.spliced.with.enhancer	Spliced.with.enhancer	Fisher.P.value	Odds.ratio	q_fdr
ENSG00000175348	chr11_268	0	5	16	6	0	0.00156075808249721	0	0.0460649579270669
ENSG00000164620	chr5_316	0	4	15	4	1	0.0276679841897233	0.0666666666666667	0.0780803813819727
ENSG00000164620	chr5_18	0	6	4	2	12	0.032411882997426	9	0.0807581550985085
ENSG00000167779	chr12_569	0	2	8	6	0	0.00699300699300699	0	0.0562326023491073
ENSG00000167779	chr12_991	0	2	8	6	0	0.00699300699300699	0	0.0562326023491073
ENSG00000167779	chr12_345	0	2	8	6	0	0.00699300699300699	0	0.0562326023491073
ENSG00000167779	chr12_1952	0	1	8	7	0	0.0013986013986014	0	0.0435076660428773
ENSG00000167779	chr12_988	0	2	8	6	0	0.00699300699300699	0	0.0562326023491073
ENSG00000167779	chr12_2730	0	2	8	6	0	0.00699300699300699	0	0.0562326023491073
ENSG00000141013	chr16_688	2	4	12	4	1	0.0474716202270382	0.0833333333333333	0.0951375876749011
ENSG00000141013	chr16_1496	3	13	4	0	3	0.0307017543859649	Inf	0.079511363909089
ENSG00000141013	chr16_1219	2	4	12	4	1	0.0474716202270382	0.0833333333333333	0.0951375876749011
ENSG00000141013	chr16_38	2	4	12	4	1	0.0474716202270382	0.0833333333333333	0.0951375876749011
ENSG00000141013	chr16_38	3	13	3	0	4	0.00722394220846233	Inf	0.0566284576769039
ENSG00000141013	chr16_685	2	3	13	5	0	0.00275197798417613	0	0.0470760420885109
ENSG00000141013	chr16_685	3	13	4	0	3	0.0307017543859649	Inf	0.079511363909089
ENSG00000141013	chr16_1216	2	5	13	3	0	0.0421052631578947	0	0.0890770988774618
ENSG00000141013	chr16_689	2	2	10	6	3	0.0318443166740381	0.1	0.0799092756228655
ENSG00000185798	chr3_4641	0	4	15	3	0	0.0227272727272727	0	0.0719841821658264
ENSG00000185798	chr3_4638	0	4	15	3	0	0.0227272727272727	0	0.0719841821658264
ENSG00000185798	chr3_3515	0	4	15	3	0	0.0227272727272727	0	0.0719841821658264
ENSG00000185798	chr3_4639	0	4	15	3	0	0.0227272727272727	0	0.0719841821658264
ENSG00000185798	chr3_4640	0	4	15	3	0	0.0227272727272727	0	0.0719841821658264
ENSG00000125351	chrX_196	0	6	14	4	0	0.0197628458498024	0	0.0685905028198776
ENSG00000125351	chrX_400	0	4	12	6	2	0.0324118829974261	0.111111111111111	0.0807581550985085
ENSG00000182054	chr15_805	0	16	10	0	5	0.017673958719565	Inf	0.0667623869618883
ENSG00000182054	chr15_803	0	16	10	0	5	0.017673958719565	Inf	0.0667623869618883
ENSG00000182054	chr15_799	0	16	8	0	7	0.00244716351501668	Inf	0.0470760420885109
ENSG00000182054	chr15_804	0	16	10	0	5	0.017673958719565	Inf	0.0667623869618883
ENSG00000182054	chr15_796	0	16	10	0	5	0.017673958719565	Inf	0.0667623869618883
ENSG00000182054	chr15_138	0	16	8	0	7	0.00244716351501668	Inf	0.0470760420885109
ENSG00000182054	chr15_800	0	16	10	0	5	0.017673958719565	Inf	0.0667623869618883
ENSG00000182054	chr15_801	0	16	10	0	5	0.017673958719565	Inf	0.0667623869618883
ENSG00000182054	chr15_798	0	16	10	0	5	0.017673958719565	Inf	0.0667623869618883
ENSG00000182054	chr15_401	0	16	10	0	5	0.017673958719565	Inf	0.0667623869618883
ENSG00000182054	chr15_797	0	16	10	0	5	0.017673958719565	Inf	0.0667623869618883
ENSG00000182054	chr15_808	0	16	10	0	5	0.017673958719565	Inf	0.0667623869618883
ENSG00000182054	chr15_807	0	16	10	0	5	0.017673958719565	Inf	0.0667623869618883
ENSG00000182054	chr15_810	0	16	10	0	5	0.017673958719565	Inf	0.0667623869618883
ENSG00000073849	chr3_3602	2	15	3	0	3	0.0150375939849624	Inf	0.0644809530773125
ENSG00000073849	chr3_490	2	10	0	5	6	0.0123839009287926	Inf	0.0628298067030473
ENSG00000073849	chr3_493	2	15	3	0	3	0.0150375939849624	Inf	0.0644809530773125
ENSG00000073849	chr3_676	2	15	5	0	1	0.285714285714286	Inf	0.312296743177641
ENSG00000073849	chr3_1956	2	15	5	0	1	0.285714285714286	Inf	0.312296743177641
ENSG00000171792	chr12_230	0	3	13	5	2	0.02573045028288	0.0923076923076923	0.0761388233082908
ENSG00000171792	chr12_230	3	14	6	3	6	0.105910780873299	4.66666666666667	0.150222591044949
ENSG00000171792	chr12_230	4	16	8	1	5	0.0605801860974276	10	0.107860892941436
ENSG00000171792	chr12_1483	0	6	15	2	0	0.110671936758893	0	0.153225300854386
ENSG00000171792	chr12_232	0	6	15	2	0	0.110671936758893	0	0.153225300854386
ENSG00000171792	chr12_1479	0	6	15	2	0	0.110671936758893	0	0.153225300854386
ENSG00000171792	chr12_528	3	16	6	1	6	0.0105716372582939	16	0.0614976239976241
ENSG00000171792	chr12_528	4	17	8	0	5	0.00903119868637111	Inf	0.0595469721002754
ENSG00000171792	chr12_528	2	14	8	1	6	0.0351824087956022	10.5	0.0828885231985823
ENSG00000171792	chr12_1480	0	6	15	2	0	0.110671936758893	0	0.153225300854386
ENSG00000171792	chr12_1376	0	6	15	2	0	0.110671936758893	0	0.153225300854386
ENSG00000171792	chr12_708	0	6	15	2	0	0.110671936758893	0	0.153225300854386
ENSG00000171792	chr12_1481	0	6	15	2	0	0.110671936758893	0	0.153225300854386
ENSG00000171792	chr12_709	0	6	15	2	0	0.110671936758893	0	0.153225300854386
ENSG00000171792	chr12_1482	3	16	8	1	4	0.129636646878026	8	0.171828850212803
ENSG00000171792	chr12_1482	4	17	9	0	4	0.0260901295384054	Inf	0.0761388233082908
ENSG00000171792	chr12_1379	3	16	8	1	4	0.129636646878026	8	0.171828850212803
ENSG00000171792	chr12_529	0	6	15	2	0	0.110671936758893	0	0.153225300854386
ENSG00000010810	chr6_1139	6	15	7	0	4	0.0220735785953177	Inf	0.0707764489584201
ENSG00000213672	chr3_880	0	10	0	0	1	0.0909090909090909	Inf	0.133517374789679
ENSG00000213672	chr3_3611	0	10	0	0	1	0.0909090909090909	Inf	0.133517374789679
ENSG00000213672	chr3_885	0	10	0	0	1	0.0909090909090909	Inf	0.133517374789679
ENSG00000213672	chr3_883	0	10	0	0	1	0.0909090909090909	Inf	0.133517374789679
ENSG00000213672	chr3_339	0	10	0	0	1	0.0909090909090909	Inf	0.133517374789679
ENSG00000213672	chr3_877	0	10	0	0	1	0.0909090909090909	Inf	0.133517374789679
ENSG00000213672	chr3_344	0	10	0	0	1	0.0909090909090909	Inf	0.133517374789679
ENSG00000213672	chr3_4364	0	10	0	0	1	0.0909090909090909	Inf	0.133517374789679
ENSG00000071626	chr19_845	1	14	7	0	4	0.0260869565217391	Inf	0.0761388233082908
ENSG00000071626	chr19_206	1	13	5	1	6	0.0212814645308924	15.6	0.0707764489584201
ENSG00000071626	chr19_826	1	14	5	0	6	0.00260869565217392	Inf	0.0470760420885109
ENSG00000071626	chr19_847	1	14	7	0	4	0.0260869565217391	Inf	0.0761388233082908
ENSG00000071626	chr19_226	1	14	7	0	4	0.0260869565217391	Inf	0.0761388233082908
ENSG00000071626	chr19_850	1	14	3	0	8	0.00015255530129672	Inf	0.0362757416243058
ENSG00000071626	chr19_219	1	10	3	4	8	0.0471799703863239	6.66666666666667	0.0951375876749011
ENSG00000071626	chr19_208	1	14	7	0	4	0.0260869565217391	Inf	0.0761388233082908
ENSG00000071626	chr19_851	1	14	7	0	4	0.0260869565217391	Inf	0.0761388233082908
ENSG00000071626	chr19_831	1	14	7	0	4	0.0260869565217391	Inf	0.0761388233082908
ENSG00000071626	chr19_225	1	12	5	2	6	0.080976353928299	7.2	0.126291472550055
ENSG00000071626	chr19_205	1	12	3	2	8	0.00513864584735496	16	0.0533494363929148
ENSG00000071626	chr19_211	1	14	5	0	6	0.00260869565217392	Inf	0.0470760420885109
ENSG00000071626	chr19_833	1	11	3	3	8	0.0171837842688563	9.77777777777778	0.0667623869618883
ENSG00000071626	chr19_209	1	14	7	0	4	0.0260869565217391	Inf	0.0761388233082908
ENSG00000071626	chr19_860	1	12	5	2	6	0.080976353928299	7.2	0.126291472550055
ENSG00000071626	chr19_840	1	14	7	0	4	0.0260869565217391	Inf	0.0761388233082908
ENSG00000071626	chr19_848	1	14	7	0	4	0.0260869565217391	Inf	0.0761388233082908
ENSG00000071626	chr19_1183	1	13	5	1	6	0.0212814645308924	15.6	0.0707764489584201
ENSG00000071626	chr19_215	1	11	3	3	8	0.0171837842688563	9.77777777777778	0.0667623869618883
ENSG00000071626	chr19_204	1	12	3	2	8	0.00513864584735496	16	0.0533494363929148
ENSG00000071626	chr19_846	1	14	5	0	6	0.00260869565217392	Inf	0.0470760420885109
ENSG00000071626	chr19_853	1	14	7	0	4	0.0260869565217391	Inf	0.0761388233082908
ENSG00000071626	chr19_855	1	13	5	1	6	0.0212814645308924	15.6	0.0707764489584201
ENSG00000167555	chr19_755	4	11	2	1	5	0.00954592363261093	27.5	0.0601011360801832
